xSNoRow,xShortTitle:,Reading,xBookRead,SleepRead,Confident,Chivalry,xGenderEqWestern,MaleDominated,MaleChauvanist,ExamMult,ExamExt,ReadComics,xComicsRead,JobNoWorry,JobByCollege,Inquisitive,Debate,WriteNotes,ClassTooMany,BigWeekend,TeacherListen,NotMarks,GrpStudy,TeachersEq,ActivityTooMany,Conservative,TechNeeded,OldDrs,ENews,PeerPres,TeacherPest,EngLit,EnglishJob,Listening,Writing,ActivityOpt,Gender,PostMBA,ClassBig,Vernacular,TownSmall,FriendsMany,FriendsTrue,Movies,StudiesHigher,ExcelExpert,Blogger,xBlogIs,Webpage,xWebpageIs,WriteDiary,Meditate,Hobbies,MBASad,MBAHappy,FoodHealthy,xFoodFav,SpkEmpowered,TeacherEmpower,ProudParent,ProudI,Degree,,
#,SnoColumns,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,,
#,Timestamp,Reading is important for MBA,My favorite books are,I sleep late and read at night,I can change the world with my work,"In a full bus, a boy should give seat to a girl standing?",Gender equality is for the West,"MBA is more important for boys, because they must get a job and support the family?",Boys do better in Math than girls,Multiple choice exams are easier than essay exams,External exams are better than internal exams?,Reading comics helps in MBA comprehension,I have read following comics,"No matter what marks I get, placement is guaranteed",It is the college's responsibility to do placements.,We should ask more questions in class,Seminars must include debate at the end,We must write notes in all classes,We have too many classes and not enough time to think,Saturdays should be holiday so we can go home,We can talk to teacher anytime during office timings,I worry about placements more than marks,I study in a group after college hours,We are treated equally by college/teachers,There are too many activities and not enough interesting course material,Our college needs to be more liberal,"Our course material is outdated, we need modern technology like tablets to learn.",Dress code in college is old fashioned,I read google news every morning,I learn best from fellow student presentations.,"Teachers don't listen to us, they think we are trouble",English Literature should be taught in MBA,Speaking English is necessary for placements,Listening is more important than speaking English,Writing is more important than reading,Extra curricular activities must be optional,My gender,My dream during MBA,I like big classes,"I studied in my mother tongue (Kannada, Tulu, Konkani, etc)",I grew up in a small town like Karkala,I have lots of Friends in college,College friends are true friends,I love watching movies after classes to relax,I want to study more after MBA,I know Excel well,I write a blog,my blog is here:,I have a web page,my webpage is here,I write a diary to organize my thoughts,I meditate to calm my mind and focus attention,I have hobbies outside of studies to keep me busy,MBA is depressing,MBA classes give me joy and hope,I eat healthy food in NITTE,My favorite foods at college are,I spoke on stage and it was empowering,Teachers empower me to do great things,My parents are more proud of my MBA than me.,I am proud to be learning MBA,"Before MBA, I studied",,
#1,2014/10/19 7:13:06 PM GMT+5:30,,,,,3,,2,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#2,2014/10/19 7:52:03 PM GMT+5:30,5,Tao of the Pooh,1,5,5,Nope,3,3,1,1,5,All of the above,3,5,5,5,5,4,5,5,1,3,5,5,5,5,1,5,3,5,5,5,3,3,5,Girl,Good Job,1,1,1,,,,,,,,,,,,,,,,,,,,,,,3
3,2014/10/24 10:11:55 PM GMT+5:30,5,,5,5,4,,5,3,2,3,5,Tin tin,3,1,5,4,5,3,2,4,4,3,5,3,2,2,2,3,4,2,4,5,4,4,3,Girl,Good Job,3,1,4,3,3,3,2,3,4,,1,,5,3,4,2,4,4,,4,5,5,5,BBM,,
4,2014/10/24 10:18:14 PM GMT+5:30,4,,3,5,5,,1,3,1,3,5,,3,1,,5,5,,5,1,,,1,3,3,3,4,5,2,1,5,5,,5,5,Boy,Start my business,1,1,1,3,1,4,5,3,2,,2,,3,1,4,3,3,1,,4,1,2,1,BBM,,
5,2014/10/24 10:26:01 PM GMT+5:30,3,,4,3,3,No ,1,3,2,3,3,Tinkle,3,2,4,4,5,2,3,3,3,4,4,3,2,3,3,3,3,2,3,3,3,3,3,Girl,Start my business,2,1,3,3,3,3,4,1,3,,1,,4,3,3,3,3,3,Puri and snakes,3,4,3,3,BBM,,
6,2014/10/24 10:33:01 PM GMT+5:30,4,,5,3,2,,1,2,3,4,3,,1,2,3,4,5,4,1,4,4,4,5,3,2,4,4,5,2,1,5,5,1,3,1,Boy,Good Job,1,1,4,3,2,4,1,4,4,,1,,1,2,2,2,5,5,"chicken, chats",4,4,3,5,BCom,,
7,2014/10/25 5:10:44 AM GMT+5:30,3,,3,4,5,Strongly disagree.  It should be practiced in India too ,2,3,4,2,5,"Tinkle
Archies 
Amar Chaithra katha",4,4,5,5,4,4,4,5,4,4,4,5,3,4,2,2,4,2,3,5,3,4,4,Girl,Good Job,4,1,4,3,2,4,3,3,2,,3,,3,3,4,2,4,2,"Rice(meal)
Add some more healthy food to college canteen ",5,5,4,5,BBM,,
8,2014/10/25 7:16:16 AM GMT+5:30,4,accidental president ,5,5,1,No it is universal ,1,5,5,1,1,tinkle ,1,1,5,5,5,5,5,1,1,3,5,5,5,5,4,1,5,5,5,5,5,1,1,Boy,Good Job,1,1,1,1,3,5,1,3,3,,3,,1,1,5,1,5,3,roti ,5,5,1,5,BBM,,
